,super_cluster,gene_names
0,0,AIF1L
0,0,ASF1A
0,0,CABIN1
0,0,CALD1
0,0,CAPZA1
0,0,CAPZB
0,0,CD2AP
0,0,CNOT2
0,0,DBNL
0,0,FAM101B
0,0,FAM21A
0,0,FLNA
0,0,FLNB
0,0,FLNC
0,0,HIRA
0,0,KIAA1671
0,0,LIMA1
0,0,MPP5
0,0,MTPN
0,0,MYO5C
0,0,NEXN
0,0,NSUN2
0,0,PEAK1
0,0,PHLDB2
0,0,PPP1CA;PPP1CB
0,0,PPP1CB
0,0,PPP1CC
0,0,PPP1R9A
0,0,SIPA1L3
0,0,SPAST
0,0,SPECC1
0,0,SPTAN1
0,0,SVIL
0,0,TMOD1
0,0,TMOD3
0,0,UBN2
1,1,ASCC1
1,1,ATG4B
1,1,ATG7
1,1,C7ORF50
1,1,CAPRIN1
1,1,CCDC124
1,1,CCDC86
1,1,DARS
1,1,DHX29
1,1,DHX57
1,1,DRG1
1,1,EIF3C;EIF3CL
1,1,EIF4A2
1,1,ENY2
1,1,EXOSC9
1,1,FASTKD2
1,1,G3BP1
1,1,G3BP2
1,1,GNB2L1
1,1,GNL2
1,1,GTPBP4
1,1,HMGB2
1,1,HSPB1
1,1,ILF2
1,1,ILF3
1,1,LARP4
1,1,LARP4B
1,1,LYAR
1,1,MAGOH;MAGOHB
1,1,MAGOHB
1,1,MARS
1,1,METAP2
1,1,MTDH
1,1,NKRF
1,1,PABPC1
1,1,PRRC2B
1,1,QARS
1,1,RACK1
1,1,RBM28
1,1,RBM8A
1,1,RPL10
1,1,RPL10A
1,1,RPL11
1,1,RPL12
1,1,RPL13
1,1,RPL15
1,1,RPL17;RPL17-C18ORF32
1,1,RPL18
1,1,RPL18A
1,1,RPL22
1,1,RPL23A
1,1,RPL24
1,1,RPL26L1;RPL26
1,1,RPL27A
1,1,RPL28
1,1,RPL3
1,1,RPL30
1,1,RPL32
1,1,RPL35
1,1,RPL35A
1,1,RPL39P5;RPL39
1,1,RPL5
1,1,RPL6
1,1,RPL7
1,1,RPL8
1,1,RPS13
1,1,RPS14
1,1,RPS15
1,1,RPS15A
1,1,RPS16
1,1,RPS17
1,1,RPS18
1,1,RPS2
1,1,RPS21
1,1,RPS23
1,1,RPS24
1,1,RPS26
1,1,RPS27
1,1,RPS27L
1,1,RPS3
1,1,RPS3A
1,1,RPS5
1,1,RPS6
1,1,RPS7
1,1,RPS9
1,1,RPSA
1,1,RRP1B
1,1,SDAD1
1,1,SEC61G
1,1,SERPINB12
1,1,SND1
1,1,SRP19
1,1,SRP72
1,1,STAU1
1,1,TARBP2
1,1,TPT1
1,1,ZC3H15
1,1,ZCCHC17
1,1,ZNF622
2,2,ATP13A1
2,2,ATP2A2
2,2,CCDC47
2,2,DERL2
2,2,EMC10
2,2,ERN1
2,2,MMGT1
2,2,ODR4
2,2,PGRMC2
2,2,PTRH2
2,2,SEC61A1
2,2,SEC61A2
2,2,SEC61B
2,2,SEC62
2,2,SEC63
2,2,SSR3
2,2,TEX264
2,2,TMEM33
3,3,CDC42
3,3,CPSF6
3,3,CPSF7
3,3,CRTAP
3,3,IQGAP1
